library,deviceset,device,value
SparkFun-Capacitors,1.0UF,-0402T-16V-10%,1.0uF
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-IC-Power,V_REG_SP6214,-1.8V,1.8V/100mA
SparkFun-Capacitors,1.0UF,-0402T-16V-10%,1.0uF
SparkFun-PowerSymbols,GND,,
SparkFun-DiscreteSemi,MOSFET-NCH,-RE1C00UNTL,20V/0.2A/8MHz/1.2Ω/1Vth
SparkFun-Resistors,2.2KOHM,-0402T-1/16W-1%,2.2k
SparkFun-PowerSymbols,1.8V,,
SparkFun-DiscreteSemi,MOSFET-NCH,-RE1C00UNTL,20V/0.2A/8MHz/1.2Ω/1Vth
SparkFun-Resistors,2.2KOHM,-0402T-1/16W-1%,2.2k
SparkFun-PowerSymbols,1.8V,,
SparkFun-DiscreteSemi,MOSFET-NCH,-RE1C00UNTL,20V/0.2A/8MHz/1.2Ω/1Vth
SparkFun-Resistors,2.2KOHM,-0402T-1/16W-1%,2.2k
SparkFun-Resistors,2.2KOHM,-0402T-1/16W-1%,2.2k
SparkFun-PowerSymbols,1.8V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,1.8V,,
SparkFun-PowerSymbols,1.8V,,
SparkFun-PowerSymbols,1.8V,,
SparkFun-PowerSymbols,1.8V,,
SparkFun-PowerSymbols,1.8V,,
SparkFun-DiscreteSemi,MOSFET-NCH,-RE1C00UNTL,20V/0.2A/8MHz/1.2Ω/1Vth
SparkFun-Resistors,2.2KOHM,-0402T-1/16W-1%,2.2k
SparkFun-Resistors,2.2KOHM,-0402T-1/16W-1%,2.2k
SparkFun-PowerSymbols,1.8V,,
SparkFun-DiscreteSemi,MOSFET-NCH,-RE1C00UNTL,20V/0.2A/8MHz/1.2Ω/1Vth
SparkFun-Resistors,2.2KOHM,-0402T-1/16W-1%,2.2k
SparkFun-Resistors,RESISTOR,0402T,DNP
SparkFun-PowerSymbols,1.8V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,1.8V,,
SparkFun-PowerSymbols,1.8V,,
SparkFun-Connectors,QWIIC_CONNECTOR,JS-1MM,
SparkFun-PowerSymbols,GND,,
SparkFun-IC-Power,V_REG_AP2112,K-3.3V,3.3V
SparkFun-Connectors,JST_2MM_MALE,,
SparkFun-Connectors,CONN_02,1X02_NO_SILK,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-Capacitors,1.0UF,-0402T-16V-10%,1.0uF
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Capacitors,2.2UF,-0402_TIGHT-10V-10%-X5R,2.2uF
SparkFun-PowerSymbols,GND,,
SparkFun-Jumpers,JUMPER-COMBO_2_NC_TRACE,,MEAS
SparkFun-DiscreteSemi,DIODE-SCHOTTKY,-BAT60A,3A/10V/280mV
SparkFun-PowerSymbols,5V,,
SparkFun-Connectors,CONN_06,NO_SILK_NO_POP,
SparkFun-Connectors,USB_C,_4-LAYER_PADS,
SparkFun-Batteries,ML414H_IV01E_BATTERY,,ML414H
SparkFun-DiscreteSemi,DIODE-SCHOTTKY,-BAT60A,3A/10V/280mV
SparkFun-Resistors,2.2KOHM,-0402T-1/16W-1%,2.2k
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,VCC_1,,
SparkFun-PowerSymbols,VCC_1,,
SparkFun-PowerSymbols,VCC_1,,
SparkFun-PowerSymbols,VCC_1,,
SparkFun-PowerSymbols,VCC_1,,
SparkFun-IC-Power,V_SUPERVISOR,,3.0V Supervisor
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-Connectors,CONN_02,1X02_NO_SILK,
New_Parts,330KOHM,-0402T-1/16W-1%,330K
SparkFun-Aesthetics,FRAME-LEDGER,,
SparkFun-PowerSymbols,VCC_1,,
SparkFun-DiscreteSemi,DIODE-SCHOTTKY,-BAT20J,1A/23V/620mV
SparkFun-Capacitors,0.1UF,-0402T-6.3V-10%-X7R,0.1uF
SparkFun-PowerSymbols,GND,,
SparkFun-DiscreteSemi,MOSFET_PCH,-DMG2305UX-7,20V/4.2A/52mΩ/1.4W
SparkFun-PowerSymbols,3.3V,,
SparkFun-Connectors,MICRO-SD-SDIO,PUSH-PUSH,MICRO-SD
SparkFun-IC-Power,V_REG_AP2112,K-3.3V,3.3V
SparkFun-Capacitors,2.2UF,-0402_TIGHT-10V-10%-X5R,2.2uF
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Jumpers,JUMPER-SMT_2_NO,_SILK,
SparkFun-Aesthetics,SPECIAL_INSTRUCTIONS,-ORDERING,
SparkFun-Aesthetics,SFE_LOGO_FLAME,.1_INCH,
SparkFun-Aesthetics,SFE_LOGO_NAME,.1_INCH,
SparkFun-Aesthetics,SFE_LOGO_FLAME,.1_INCH,
SparkFun-Resistors,220KOHM,-0402T-1/16W-1%,220k
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
New_Parts,1MOHM,-0402T-1/16W-1%,1M
New_Parts,2MOHM,-0402T-1/16W-1%,2M
SparkFun-Connectors,CONN_01,PTH_NO_SILK_YES_STOP,
SparkFun-Connectors,TEST-POINT,3,TEST-POINT3
SparkFun-Resistors,0OHM,-0402T-1/10W,0
SparkFun-Connectors,TEST-POINT,TP_15TH_THRU,
SparkFun-Connectors,TEST-POINT,TP_15TH_THRU,
SparkFun-Connectors,TEST-POINT,TP_15TH_THRU,
SparkFun-Connectors,TEST-POINT,TP_15TH_THRU,
SparkFun-Aesthetics,FRAME-LETTER,,
SparkFun-Resistors,2.2KOHM,-0603-1/10W-1%,2.2k
SparkFun-Resistors,2.2KOHM,-0603-1/10W-1%,2.2k
SparkFun-Jumpers,JUMPER-SMT_3_2-NC_TRACE,_SILK,
SparkFun-Capacitors,0.1UF,-0603-25V-(+80/-20%),0.1uF
SparkFun-Capacitors,1.0NF/1000PF,-0603-50V-10%,1nF
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,GND,,
SparkFun-Connectors,I2C_STANDARD,QWIIC,Qwiic
SparkFun-Connectors,I2C_STANDARD,QWIIC,Qwiic
SparkFun-Connectors,I2C_STANDARD,_NO_SILK,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-Connectors,CONN_02,1X02_NO_SILK,
SparkFun-LED,LED-RED,0603,RED
SparkFun-Resistors,1KOHM,-0603-1/10W-1%,1k
SparkFun-Jumpers,JUMPER-SMT_2_NC_TRACE,_SILK,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,GND,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Aesthetics,QWIIC_LOGO,_5MM,
SparkFun-Aesthetics,OSHW-LOGO,S,
SparkFun-Aesthetics,SFE_LOGO_NAME_FLAME,.1_INCH,
SparkFun-Resistors,2.2KOHM,-0603-1/10W-1%,2.2k
SparkFun-PowerSymbols,3.3V,,
SparkFun-Aesthetics,FIDUCIAL,UFIDUCIAL,
SparkFun-Aesthetics,FIDUCIAL,UFIDUCIAL,
SparkFun-Aesthetics,FIDUCIAL,UFIDUCIAL,
SparkFun-Aesthetics,FIDUCIAL,UFIDUCIAL,
SparkFun-Sensors,MPR_SERIES_PRESSURE_I2C,,MPR Series
SparkFun-Aesthetics,FRAME-LETTER,,
SparkFun-PowerSymbols,GND,,
SparkFun-Connectors,I2C_STANDARD,QWIIC,Qwiic Right Angle
SparkFun-PowerSymbols,3.3V,,3.3V
SparkFun-Capacitors,0.1UF,-0603-25V-(+80/-20%),0.1uF
SparkFun-Connectors,I2C_STANDARD,QWIIC,Qwiic Right Angle
SparkFun-Hardware,STAND-OFF,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Aesthetics,FIDUCIAL,1X2,
SparkFun-Aesthetics,FIDUCIAL,1X2,
SparkFun-Connectors,AVR_SPI_PROG_3X2,TESTPOINTS,
SparkFun-Resistors,4.7KOHM,-0603-1/10W-1%,4.7k
SparkFun-Resistors,1KOHM,-0603-1/10W-1%,1k
SparkFun-LED,LED-RED,0603,RED
SparkFun-Hardware,STAND-OFF,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Aesthetics,FIDUCIAL,1X2,
SparkFun-Aesthetics,FIDUCIAL,1X2,
SparkFun-PowerSymbols,GND,,
SparkFun-Connectors,CONN_04,1X04_NO_SILK,
SparkFun-IC-Microcontroller,ATTINY84-ARDUINO,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-Aesthetics,OSHW-LOGO,S,OSHW-LOGOS
SparkFun-PowerSymbols,GND,,
SparkFun-Jumpers,JUMPER-SMT_2_NC_TRACE,_SILK,
SparkFun-Jumpers,JUMPER-SMT_2_NC_TRACE,_SILK,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-LED,LED-BLUE,0603,BLUE
SparkFun-Resistors,1KOHM,-0603-1/10W-1%,1k
SparkFun-Resistors,47OHM,-0603-1/10W-1%,47
SparkFun-DiscreteSemi,TRANS_NPN,-MMBT2222AL,600mA/40V
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-DiscreteSemi,SOLID_STATE_RELAY_SSR-40DA-H,,Solid State Relay - 40A
SparkFun-Resistors,1KOHM,-0603-1/10W-1%,1k
SparkFun-PowerSymbols,GND,,
SparkFun-LED,LED-BLUE,0603,BLUE
SparkFun-Resistors,1KOHM,-0603-1/10W-1%,1k
SparkFun-Resistors,47OHM,-0603-1/10W-1%,47
SparkFun-DiscreteSemi,TRANS_NPN,-MMBT2222AL,600mA/40V
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-DiscreteSemi,SOLID_STATE_RELAY_SSR-40DA-H,,Solid State Relay - 40A
SparkFun-Resistors,1KOHM,-0603-1/10W-1%,1k
SparkFun-PowerSymbols,GND,,
SparkFun-LED,LED-BLUE,0603,BLUE
SparkFun-Resistors,1KOHM,-0603-1/10W-1%,1k
SparkFun-Resistors,47OHM,-0603-1/10W-1%,47
SparkFun-DiscreteSemi,TRANS_NPN,-MMBT2222AL,600mA/40V
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-DiscreteSemi,SOLID_STATE_RELAY_SSR-40DA-H,,Solid State Relay - 40A
SparkFun-Resistors,1KOHM,-0603-1/10W-1%,1k
SparkFun-PowerSymbols,GND,,
SparkFun-LED,LED-BLUE,0603,BLUE
SparkFun-Resistors,1KOHM,-0603-1/10W-1%,1k
SparkFun-Resistors,47OHM,-0603-1/10W-1%,47
SparkFun-DiscreteSemi,TRANS_NPN,-MMBT2222AL,600mA/40V
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-DiscreteSemi,SOLID_STATE_RELAY_SSR-40DA-H,,Solid State Relay - 40A
SparkFun-Resistors,1KOHM,-0603-1/10W-1%,1k
SparkFun-PowerSymbols,3.3V,,
SparkFun-Jumpers,JUMPER-SMT_3_2-NC_TRACE,_SILK,
SparkFun-Resistors,4.7KOHM,-0603-1/10W-1%,4.7k
SparkFun-Resistors,4.7KOHM,-0603-1/10W-1%,4.7k
SparkFun-PowerSymbols,3.3V,,
SparkFun-Aesthetics,SFE_LOGO_NAME,1_INCH,
SparkFun-Connectors,CONN_01,PTH_NO_SILK_YES_STOP,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Hardware,STAND-OFF,,
SparkFun-Aesthetics,FRAME-LEDGER,,
SparkFun-PowerSymbols,GND,,
SparkFun-Capacitors,0.1UF,-0603-25V-5%,0.1uF
SparkFun-Resistors,10KOHM,-0603-1/10W-1%,10k
SparkFun-Connectors,USB_C,_2-LAYER,USB
SparkFun-Resistors,5.1KOHM,5.1KOHM-0603-1/10W-1%,5.1k
SparkFun-Resistors,5.1KOHM,5.1KOHM-0603-1/10W-1%,5.1k
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Capacitors,0.1UF,-0603-25V-5%,0.1uF
SparkFun-Resistors,10KOHM,-0603-1/10W-1%,10k
SparkFun-Resistors,5.62KOHM,-0603-1/10W-1%,5.62k
SparkFun-Resistors,10KOHM,-0603-1/10W-1%,10k
SparkFun-Capacitors,2.2UF,-0603-10V-20%,2.2uF
SparkFun-PowerSymbols,GND,,
SparkFun-Capacitors,0.1UF,-0603-25V-5%,0.1uF
SparkFun-Capacitors,0.1UF,-0603-25V-5%,0.1uF
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Capacitors,12PF,-0603-50V-5%,12pF
SparkFun-Capacitors,12PF,-0603-50V-5%,12pF
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Clocks,CRYSTAL-16MHZ_SMALL,,16MHz
SparkFun-PowerSymbols,GND,,
SparkFun-Switches,MOMENTARY-SWITCH-SPST,-SMD-5.2MM-TALL,TGT_RST
SparkFun-IC-Microcontroller,ARTEMIS_MODULE,SMD,
SparkFun-Clocks,CRYSTAL-32.768KHZ,SMD-3.2X1.5,32.768kHz
SparkFun-Capacitors,15PF,-0603-50V-5%,15pF
SparkFun-Capacitors,15PF,-0603-50V-5%,15pF
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-LED,LED-RED,0603,RED
SparkFun-LED,LED-BLUE,0603,BLUE
SparkFun-LED,LED-GREEN,0603,GREEN
SparkFun-LED,LED-YELLOW,0603,Yellow
SparkFun-Resistors,330OHM,-0603-1/10W-1%,330
SparkFun-Resistors,330OHM,-0603-1/10W-1%,330
SparkFun-Resistors,330OHM,-0603-1/10W-1%,330
SparkFun-PowerSymbols,3.3V,,
SparkFun-Resistors,330OHM,-0603-1/10W-1%,330
SparkFun-PowerSymbols,GND,,
SparkFun-Resistors,33OHM,-0603-1/10W-1%,33
SparkFun-Resistors,33OHM,-0603-1/10W-1%,33
SparkFun-IC-Power,PRTR5V0U2,F,
SparkFun-PowerSymbols,GND,,
SparkFun-Capacitors,1.0UF,-0603-16V-10%,1.0uF
SparkFun-Capacitors,0.1UF,-0603-25V-5%,0.1uF
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Connectors,CORTEX_JTAG_DEBUG,_PTH,CORTEX_JTAG_DEBUG_PTH
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-LED,LED-BLUE,0603,BLUE
SparkFun-Resistors,330OHM,-0603-1/10W-1%,330
SparkFun-PowerSymbols,GND,,
SparkFun-Sensors,SPH0641LM4H-1_MICROPHONE,,SPH0641LM4H-1
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Capacitors,1.0UF,-0603-16V-10%,1.0uF
SparkFun-PowerSymbols,GND,,
SparkFun-Connectors,CORTEX_JTAG_DEBUG_MINIMUM,_PTH,
SparkFun-PowerSymbols,GND,,
SparkFun-Capacitors,10UF,-0603-6.3V-20%,10uF
SparkFun-Capacitors,1.0UF,-0603-16V-10%,1.0uF
SparkFun-Capacitors,0.1UF,-0603-25V-5%,0.1uF
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,1.8V,,
SparkFun-IC-Power,V_REG_AP2127,K-1.8V,AP2127K-1.8V
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,1.8V,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Connectors,CAMERA-HIMAX,BOTTOM-CONTACT,CAMERA-HIMAXBOTTOM-CONTACT
SparkFun-Capacitors,1.0UF,-0603-16V-10%,1.0uF
SparkFun-Capacitors,1.0UF,-0603-16V-10%,1.0uF
SparkFun-Connectors,QWIIC_CONNECTOR,JS-1MM,QWIIC_RIGHT_ANGLE
SparkFun-PowerSymbols,GND,,
SparkFun-Resistors,10KOHM,-0603-1/10W-1%,10k
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-Sensors,LIS2DH12,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Capacitors,0.1UF,-0603-25V-5%,0.1uF
SparkFun-Capacitors,10UF,-0603-6.3V-20%,10uF
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-Connectors,CONN_08,SMD-COMBO-FEMALE,SMD
SparkFun-Connectors,CONN_08,NO_SILK_DNP,PTH
SparkFun-Connectors,CONN_08,NO_SILK_DNP,PTH
SparkFun-PowerSymbols,1.8V,,
SparkFun-Connectors,CONN_12,NO_SILK,PTH
SparkFun-Connectors,CONN_12,NO_SILK,PTH
SparkFun-Connectors,CONN_12,NO_SILK,PTH
SparkFun-Connectors,CONN_12,NO_SILK,PTH
SparkFun-Connectors,CONN_12,NO_SILK,PTH
SparkFun-Connectors,CONN_12,NO_SILK,PTH
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Jumpers,JUMPER-SMT_2_NC_TRACE,_SILK,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,1.8V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,1.8V,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Aesthetics,FIDUCIAL,1X2,
SparkFun-Aesthetics,FIDUCIAL,1X2,
SparkFun-Aesthetics,FIDUCIAL,1X2,
SparkFun-Aesthetics,FIDUCIAL,1X2,
SparkFun-Aesthetics,OSHW-LOGO,S,
SparkFun-Jumpers,JUMPER-SMT_2_NC_TRACE,_SILK,
SparkFun-IC-Power,V_REG_AP2112,K-3.3V,3.3V
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,V_USB,,
SparkFun-IC-Microcontroller,DAPLINK_KL26Z128VFM4,,
SparkFun-Aesthetics,SFE_LOGO_NAME_FLAME,.2_INCH,
SparkFun-Connectors,TEST-POINT,3,INTFC_SWDIO
SparkFun-Connectors,TEST-POINT,3,INTFC_SWDCLK
SparkFun-PowerSymbols,3.3V,,
SparkFun-Connectors,CONN_12,SMD_COMBINED,
SparkFun-Connectors,CONN_12,SMD_COMBINED,
SparkFun-Connectors,QWIIC_CONNECTOR,JS-1MM,QWIIC_RIGHT_ANGLE
SparkFun-Resistors,2.2KOHM,-0603-1/10W-1%,2.2k
SparkFun-Resistors,2.2KOHM,-0603-1/10W-1%,2.2k
SparkFun-Jumpers,JUMPER-SMT_3_2-NC_TRACE,_SILK,
SparkFun-Connectors,U.FL2PIN,,U.FL
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-Connectors,CONN_11,1X11_NO_SILK,
SparkFun-DiscreteSemi,DIODE-SCHOTTKY,-PMEG4005EJ,0.5A/40V/420mV
SparkFun-Resistors,3.3KOHM,-0603-1/10W-1%,3.3k
SparkFun-PowerSymbols,V_BATT,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-Aesthetics,FIDUCIAL,UFIDUCIAL,FIDUCIALUFIDUCIAL
SparkFun-Aesthetics,FIDUCIAL,UFIDUCIAL,FIDUCIALUFIDUCIAL
SparkFun-Aesthetics,FIDUCIAL,UFIDUCIAL,FIDUCIALUFIDUCIAL
SparkFun-Aesthetics,FIDUCIAL,UFIDUCIAL,FIDUCIALUFIDUCIAL
SparkFun-Hardware,STAND-OFF,TIGHT,
SparkFun-Hardware,STAND-OFF,TIGHT,
SparkFun-Jumpers,JUMPER-SMT_2_NO,_SILK,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-LED,LED-RED,0603,RED
SparkFun-Resistors,1KOHM,-0402-1/16W-1%,1KOHM-0402-1/16W-1%
SparkFun-PowerSymbols,3.3V,,
SparkFun-Jumpers,JUMPER-SMT_2_NC_TRACE,_SILK,JUMPER-SMT_2_NC_TRACE_SILK
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-Batteries,ML414H_IV01E_BATTERY,,
SparkFun-Connectors,USB_C,_2-LAYER_PADS,
SparkFun-Aesthetics,FRAME-LEDGER,,
SparkFun-Capacitors,47PF,-0402-25V-5%-X7R,47pF
SparkFun-IC-Power,V_REG_AP2112,K-3.3V,3.3V
SparkFun-Resistors,5.1KOHM,-0402-1/16W-1%,5.1k
SparkFun-Resistors,5.1KOHM,-0402-1/16W-1%,5.1k
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-Capacitors,1.0UF,-0603-16V-10%-X7R,1.0uF
SparkFun-Capacitors,1.0UF,-0603-16V-10%-X7R,1.0uF
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,VIN,,
SparkFun-IC-Power,PRTR5V0U2,F,
SparkFun-Resistors,27OHM,-0603-1/10W-1%,27
SparkFun-Resistors,27OHM,-0603-1/10W-1%,27
SparkFun-Resistors,1KOHM,-0402-1/16W-1%,
SparkFun-Resistors,1KOHM,-0402-1/16W-1%,
SparkFun-Jumpers,JUMPER-SMT_2_NC_TRACE,_SILK,JUMPER-SMT_2_NC_TRACE_SILK
SparkFun-Jumpers,JUMPER-SMT_2_NC_TRACE,_SILK,JUMPER-SMT_2_NC_TRACE_SILK
SparkFun-PowerSymbols,GND,,
SparkFun-LED,LED-BLUE,0603,BLUE
SparkFun-LED,LED-BLUE,0603,BLUE
SparkFun-Connectors,QWIIC_CONNECTOR,JS-1MM,QWIIC_RIGHT_ANGLE
SparkFun-PowerSymbols,GND,,
SparkFun-PowerSymbols,3.3V,,
SparkFun-PowerSymbols,VIN,,
SparkFun-Resistors,33OHM,-0603-1/10W-1%,33
